INSERT INTO Ciudadano (id, primer_nombre, segundo_nombre, primer_apellido, segundo_apellido, fecha_nacimiento, esta_vivo) VALUES
(4831473, 'Fátima', 'Beatriz', 'Acero', 'Castillo', '1962-08-28', TRUE),
(3839816, 'Silvia', NULL, 'Sánchez', 'De la Pradera Cálida', '2008-10-01', TRUE),
(7937304, 'Josefina', 'Sara', 'Correa', NULL, '1980-07-03', TRUE),
(3619192, 'Renzo', 'Daniel', 'Ramírez', 'Pomar', '2018-02-02', TRUE),
(5485935, 'Orlando', 'Javier', 'Milei', 'Correa', '2015-11-17', TRUE),
(1181071, 'Fabián', NULL, 'Acero', 'Kirchner', '1960-03-04', TRUE),
(4394932, 'Mercedes', 'Delfina', 'Acero', NULL, '1991-12-09', TRUE),
(2531826, 'Genyfer', NULL, 'Camión', NULL, '1970-11-11', TRUE),
(6180144, 'Mateo', 'Bruno', 'Camión', 'Gómez', '1989-05-22', TRUE),
(2342793, 'Alicia', 'Magalí', 'Acevedo', 'De la Pradera Cálida', '2006-05-16', TRUE),
(4054119, 'Guadalupe', 'Delfina', 'Rodríguez', 'Martínez', '1957-02-16', TRUE),
(6940223, 'Violeta', 'Violeta', 'De la Pradera Cálida', 'Cripto', '1996-01-09', TRUE),
(4280617, 'Isabela', 'Rocío', 'Torvalds', NULL, '1973-07-06', TRUE),
(5347721, 'Gastón', NULL, 'De la Pradera Cálida', NULL, '1960-12-18', TRUE),
(6018928, 'Aurelia', NULL, 'Torres', 'De León', '1994-08-25', TRUE),
(4893966, 'Pablo', NULL, 'Cripto', 'Milei', '2016-11-14', TRUE),
(2206389, 'Rocío', 'Alicia', 'Rodríguez', 'Sativa', '1946-05-06', TRUE),
(4206233, 'Camila', NULL, 'Camión', 'Pomar', '1964-01-01', TRUE),
(3787091, 'Adolfo', NULL, 'Saldaño', 'Acero', '1987-06-15', TRUE),
(4257968, 'Silvia', NULL, 'Milei', 'Sánchez', '2006-08-20', TRUE),
(3057851, 'Rodrigo', 'Vicente', 'Milei', 'Pomar', '1983-10-31', TRUE),
(7697620, 'Zoe', 'Olga', 'Flores', 'Rodríguez', '1947-05-24', TRUE),
(6748654, 'Walter', 'Emmanuel', 'González', 'López', '1934-09-12', TRUE),
(7437063, 'Agustina', NULL, 'Pomar', NULL, '2020-06-12', TRUE),
(2747578, 'Brashan', NULL, 'Torvalds', 'Acero', '1928-06-18', TRUE),
(6898813, 'Zoe', 'Julieta', 'López', NULL, '1931-06-24', TRUE),
(4112166, 'Eugenia', NULL, 'Ramírez', NULL, '1991-11-04', TRUE),
(7408374, 'Oscar', 'Baltasar', 'De León', 'López', '1981-04-27', TRUE),
(4201239, 'Francisco', NULL, 'Cripto', 'De León', '1999-05-03', TRUE),
(6573092, 'Delfina', NULL, 'Acevedo', 'Pomar', '1932-06-10', TRUE),
(3196194, 'Rodrigo', NULL, 'Machado', 'Milei', '1985-08-10', TRUE),
(1868974, 'Juan', 'Samuel', 'Sánchez', 'Machado', '2002-11-17', TRUE),
(3208473, 'Benjamín', NULL, 'Milei', NULL, '2020-07-04', TRUE),
(4745337, 'Verónica', 'Mónica', 'Castillo', 'Mesa', '1966-08-29', TRUE),
(2070457, 'Ailén', 'Leticia', 'Machado', 'Milei', '2002-10-30', TRUE),
(4767949, 'Sandra', 'Camila', 'Ramírez', NULL, '1965-03-03', TRUE),
(3931359, 'Raúl', 'Tomás', 'Pomar', NULL, '2015-11-10', TRUE),
(2173240, 'Mariela', 'Yolanda', 'Saldaño', NULL, '1972-05-27', TRUE),
(7119715, 'Leticia', 'Verónica', 'Silla', NULL, '1965-11-17', TRUE),
(7675929, 'Mario', 'Tobías', 'Flores', 'De León', '1971-12-20', TRUE),
(5932563, 'Axel', 'Matias', 'De la Pradera Cálida', 'Cripto', '1999-01-07', TRUE),
(7059268, 'Lidia', NULL, 'Sánchez', 'Silla', '1963-04-21', TRUE),
(3273539, 'Yamila', NULL, 'Acevedo', 'De León', '1949-05-05', TRUE),
(7972344, 'Emilia', 'Mara', 'Kojima', 'De León', '1930-10-06', TRUE),
(1053835, 'Santiago', 'Carlos', 'Flores', NULL, '2021-03-07', TRUE),
(5743439, 'Raúl', 'Lautaro', 'Castillo', 'Pomar', '2021-07-27', TRUE),
(5597727, 'Jimena', NULL, 'Silla', 'Torvalds', '2017-03-17', TRUE),
(3772733, 'Genyfer', NULL, 'De la Pradera Cálida', 'Sativa', '1976-04-30', TRUE),
(1375953, 'Gabriel', NULL, 'Pomar', 'Ramírez', '1980-11-05', TRUE),
(4137998, 'Natalia', NULL, 'Rodríguez', 'Cripto', '1975-07-23', TRUE),
(1694966, 'Hugo', NULL, 'Gómez', 'Silla', '1951-03-31', TRUE),
(6692096, 'Paula', 'Aitana', 'Silla', 'Pomar', '2005-01-26', TRUE),
(5942385, 'Tobías', 'Walter', 'Flores', 'López', '1957-01-04', TRUE),
(1769645, 'Mauro', 'Axel', 'Sativa', 'De la Pradera Cálida', '1986-01-11', TRUE),
(5239229, 'Bianca', NULL, 'Silla', 'De León', '2005-11-28', TRUE),
(3763122, 'Candelaria', 'Eugenia', 'Sativa', 'González', '2021-02-13', TRUE),
(1664411, 'Sofía', 'Tamara', 'Mesa', 'Torvalds', '1956-07-14', TRUE),
(6627134, 'Ariana', 'Lidia', 'Acevedo', NULL, '1986-10-05', TRUE),
(5249318, 'Lidia', 'Beatriz', 'Mesa', NULL, '1939-06-17', TRUE),
(3933778, 'Facundo', 'Elías', 'De Luque', 'Ramírez', '1938-08-01', TRUE),
(1360922, 'Aixa', 'Martina', 'Ramírez', NULL, '2004-03-15', TRUE),
(5760157, 'Miguel', 'Felipe', 'Bonaventura', 'Rodríguez', '2023-07-10', TRUE),
(7161607, 'Ivana', 'Nadia', 'Castillo', 'González', '2022-01-08', TRUE),
(1976189, 'Tomás', 'Nahuel', 'Flores', 'Rodríguez', '1946-08-13', TRUE),
(2748469, 'Salvador', NULL, 'De la Pradera Cálida', NULL, '1958-06-30', TRUE),
(2361048, 'Melina', 'Rosa', 'Martínez', 'Torvalds', '1938-04-17', TRUE),
(4470669, 'Melina', 'Zoe', 'Castillo', 'Sativa', '1967-03-28', TRUE),
(4238451, 'Valentina', NULL, 'De la Pradera Cálida', 'Cripto', '1954-05-22', TRUE),
(2791745, 'Zacarías', 'Luciano', 'De León', 'Saldaño', '1990-12-04', TRUE),
(5595110, 'Jessica', 'Graciela', 'Torres', 'González', '1928-05-08', TRUE),
(7150036, 'Jessica', 'Isabela', 'Martínez', 'Milei', '1979-08-06', TRUE),
(4446548, 'Mía', NULL, 'Machado', NULL, '1965-02-22', TRUE),
(6923751, 'Lara', NULL, 'Mesa', 'Ramírez', '1984-02-02', TRUE),
(6313120, 'Martina', NULL, 'Sánchez', 'De Luque', '1963-12-07', TRUE),
(7339726, 'Francisco', NULL, 'Ramírez', NULL, '1966-04-20', TRUE),
(5249731, 'Ariadna', 'Carla', 'De la Pradera Cálida', 'Gómez', '1936-07-27', TRUE),
(4113435, 'Aurelia', NULL, 'Correa', NULL, '1961-04-13', TRUE),
(1533836, 'Beatriz', NULL, 'Castillo', 'López', '1981-06-19', TRUE),
(3934379, 'Mía', 'Mirta', 'Pérez', 'Machado', '1997-10-22', TRUE),
(3243868, 'Lucas', 'Zacarías', 'Kirchner', 'Castillo', '1981-02-02', TRUE),
(7731632, 'Nicolás', 'Federico', 'De Luque', 'Ramírez', '2013-02-17', TRUE),
(5214228, 'Noelia', NULL, 'Martínez', 'Sánchez', '1948-04-05', TRUE),
(3441094, 'Carlos', NULL, 'Sánchez', 'Acevedo', '2022-03-02', TRUE),
(2999325, 'Serena', NULL, 'Pomar', 'Flores', '1930-10-15', TRUE),
(6447756, 'Carlos', NULL, 'Pomar', 'De la Pradera Cálida', '1990-01-16', TRUE),
(3049562, 'Clara', NULL, 'Torvalds', NULL, '1958-09-07', TRUE),
(1084128, 'Simón', 'Federico', 'Acevedo', NULL, '1979-02-01', TRUE),
(2370146, 'Brenda', 'Milagros', 'Castillo', 'González', '1926-11-06', TRUE),
(5255633, 'Ismael', 'Vicente', 'Mesa', 'Kojima', '1962-12-17', TRUE),
(3938864, 'Teo', 'Carlos', 'Bonaventura', 'Sánchez', '2016-09-26', TRUE),
(1387372, 'Eduardo', 'Vicente', 'Bonaventura', 'Pérez', '1934-08-01', TRUE),
(7802458, 'Silvia', 'Beatriz', 'Correa', NULL, '1947-10-19', TRUE),
(5419769, 'Luciano', 'Nicolás', 'Torres', 'Silla', '2023-05-06', TRUE),
(3551287, 'Felipe', NULL, 'Sativa', 'Castillo', '1954-04-10', TRUE),
(1251194, 'Lucas', 'Mateo', 'De la Pradera Cálida', 'López', '1941-06-04', TRUE),
(1181391, 'Mauro', NULL, 'Milei', 'Pomar', '1931-12-22', TRUE),
(2189177, 'Pablo', 'Arturo', 'Machado', 'Camión', '1986-05-01', TRUE),
(4527708, 'Esteban', NULL, 'Kojima', 'Cripto', '1958-01-01', TRUE),
(1411388, 'Agustín', 'Javier', 'Silla', NULL, '1961-06-19', TRUE),
(3458526, 'Consuelo', NULL, 'Torvalds', 'Pomar', '2020-07-19', TRUE),
(4123747, 'Ailén', 'Antonella', 'Torvalds', 'Pomar', '1980-11-20', TRUE),
(5674060, 'Simón', 'Hugo', 'Castillo', 'Sánchez', '2004-09-28', TRUE),
(7530876, 'Patricio', 'Franco', 'Sánchez', 'Acevedo', '1932-11-19', TRUE),
(3550292, 'Estefanía', NULL, 'De la Pradera Cálida', NULL, '1926-04-14', TRUE),
(4603601, 'Alicia', NULL, 'Kirchner', 'De Luque', '2000-08-07', TRUE),
(1061473, 'Carlos', 'Ernesto', 'Acevedo', 'De la Pradera Cálida', '1961-11-08', TRUE),
(7252373, 'Carlos', 'Guillermo', 'Milei', NULL, '1936-03-19', TRUE),
(1857232, 'Bárbara', NULL, 'Acero', 'Pérez', '2021-12-27', TRUE),
(7024795, 'Paula', 'Daniela', 'López', NULL, '1928-01-15', TRUE),
(6961696, 'Melina', 'Bianca', 'De la Pradera Cálida', 'De León', '1929-08-14', TRUE),
(1626639, 'Julieta', NULL, 'Rodríguez', 'Kirchner', '1959-10-18', TRUE),
(4828589, 'Iván', 'Franco', 'Torres', 'Ramírez', '2010-11-28', TRUE),
(5356075, 'Luis', NULL, 'Castillo', NULL, '1934-09-14', TRUE),
(7776512, 'Julio', 'Emiliano', 'Acero', 'Bonaventura', '2005-05-20', TRUE),
(7384927, 'Jessica', NULL, 'Acero', 'De León', '1959-10-20', TRUE),
(7569993, 'Melina', NULL, 'López', NULL, '1987-07-17', TRUE),
(5701288, 'Damián', 'Mathias', 'Cripto', 'Cripto', '1941-12-05', TRUE),
(2952377, 'Irene', NULL, 'Bonaventura', 'Mesa', '1971-10-05', TRUE),
(2732571, 'Marisol', 'Graciela', 'Bonaventura', NULL, '1937-06-20', TRUE),
(3651103, 'Silvana', 'Celeste', 'Acero', NULL, '1974-12-07', TRUE),
(7182321, 'Benjamín', NULL, 'Camión', NULL, '1956-10-02', TRUE),
(1800960, 'Jacobo', NULL, 'Mesa', 'González', '1962-05-23', TRUE),
(4711453, 'Nicolás', 'Ismael', 'Gómez', 'Camión', '1932-03-01', TRUE),
(3760809, 'Rafael', NULL, 'Torvalds', 'Torres', '1987-10-06', TRUE),
(7405524, 'Tomás', 'Guillermo', 'López', NULL, '2003-08-07', TRUE),
(2498377, 'Gustavo', 'Hugo', 'Bonaventura', NULL, '1943-10-27', TRUE),
(3194787, 'Fernando', 'Tomás', 'González', 'Castillo', '1976-12-02', TRUE),
(1023595, 'Omar', NULL, 'Mesa', 'De la Pradera Cálida', '1996-05-19', TRUE),
(7526750, 'Verónica', 'Aldana', 'De Luque', NULL, '1996-11-16', TRUE),
(1229137, 'Yago', NULL, 'Bonaventura', 'López', '1951-07-28', TRUE),
(2710058, 'Mirta', 'Ivana', 'Ramírez', NULL, '2014-04-08', TRUE),
(7609841, 'Yamila', NULL, 'Silla', NULL, '2013-07-20', TRUE),
(6706173, 'Antonella', 'Josefina', 'Torvalds', 'Sativa', '1970-07-14', TRUE),
(2159583, 'Jessica', 'Silvia', 'Silla', 'Milei', '1936-04-15', TRUE),
(7625714, 'Jacobo', NULL, 'Rodríguez', 'Silla', '1990-12-09', TRUE),
(5476462, 'Carla', 'Josefina', 'De la Pradera Cálida', NULL, '1970-06-21', TRUE),
(3836009, 'Violeta', 'Graciela', 'De León', NULL, '2004-09-23', TRUE),
(2501002, 'Brisa', NULL, 'Machado', 'Acero', '2018-02-07', TRUE),
(2151706, 'Camila', 'Catalina', 'Martínez', 'Castillo', '1953-10-11', TRUE),
(4489200, 'Daniela', NULL, 'De León', 'Camión', '1971-02-10', TRUE),
(4302844, 'Alan', NULL, 'Silla', 'Sativa', '2023-05-03', TRUE),
(2856753, 'Axel', NULL, 'Pomar', 'Ramírez', '1997-05-14', TRUE),
(5008327, 'Ailén', 'Nuria', 'Ramírez', 'Sativa', '1983-06-02', TRUE),
(5295000, 'Simón', NULL, 'Camión', NULL, '2008-08-08', TRUE),
(7709192, 'Hernán', NULL, 'Cripto', 'López', '2023-11-08', TRUE),
(5427236, 'Gabriela', NULL, 'Castillo', 'Torres', '2000-01-19', TRUE),
(1370343, 'Juliana', NULL, 'Pomar', NULL, '1967-03-18', TRUE),
(3281044, 'Guadalupe', NULL, 'Ramírez', 'Bonaventura', '1960-08-02', TRUE),
(4000425, 'Vicente', 'Alberto', 'Acevedo', 'Torvalds', '1954-08-03', TRUE),
(1943908, 'Sara', 'Claudia', 'Martínez', 'Machado', '1956-05-10', TRUE),
(3387748, 'Gastón', NULL, 'De Luque', 'Flores', '1980-09-28', TRUE),
(4575988, 'Adrián', 'Raúl', 'Torvalds', NULL, '1964-10-17', TRUE),
(5504508, 'Axel', 'Pablo', 'Saldaño', 'Sánchez', '1935-08-27', TRUE),
(4648333, 'Zoe', NULL, 'Pérez', 'López', '1947-03-18', TRUE),
(3049514, 'Carla', 'Sandra', 'Cripto', 'Acero', '1960-06-23', TRUE),
(1528320, 'Sara', 'Violeta', 'Cripto', NULL, '2021-09-08', TRUE),
(7143047, 'Yolanda', 'Josefina', 'Gómez', 'Castillo', '2015-03-03', TRUE),
(5255925, 'Abril', 'Rocío', 'Flores', 'López', '1964-10-16', TRUE),
(1507152, 'Ramiro', NULL, 'Flores', 'López', '2014-01-27', TRUE),
(7162500, 'Violeta', 'Inés', 'Torvalds', 'Torres', '1971-08-05', TRUE),
(5733650, 'Estefanía', 'Sol', 'De Luque', 'Martínez', '1950-01-24', TRUE),
(5505529, 'Brashan', 'Benjamín', 'Pérez', 'Pérez', '2009-06-20', TRUE),
(7712498, 'Federico', NULL, 'López', NULL, '1942-04-13', TRUE),
(3681899, 'Sergio', 'Teo', 'De León', 'Sativa', '1959-02-04', TRUE),
(1246911, 'Alfonso', NULL, 'Milei', 'Torres', '2002-07-29', TRUE),
(3790284, 'Patricio', NULL, 'Torvalds', 'Pomar', '1981-03-01', TRUE),
(1191219, 'Agustín', 'Lucas', 'De Luque', NULL, '1964-12-09', TRUE),
(5179394, 'Nadia', 'Delfina', 'Correa', 'Kojima', '1973-09-13', TRUE),
(7256852, 'Emmanuel', NULL, 'De León', NULL, '1931-01-06', TRUE),
(5710299, 'Ignacio', 'Dante', 'Kojima', NULL, '1965-02-10', TRUE),
(5628256, 'Guillermo', 'Matias', 'Correa', 'Gómez', '1950-10-16', TRUE),
(4286155, 'Melina', NULL, 'Martínez', 'Rodríguez', '1936-10-06', TRUE),
(5604876, 'Gastón', NULL, 'López', 'Torres', '1950-08-01', TRUE),
(7695178, 'Joshua', NULL, 'Acevedo', NULL, '2021-06-02', TRUE),
(7366673, 'Esteban', 'Ricardo', 'Gómez', NULL, '2015-08-06', TRUE),
(1617250, 'Ernesto', 'Emiliano', 'Acero', 'Rodríguez', '1931-08-12', TRUE),
(7363667, 'Ernesto', 'Leonardo', 'Acevedo', 'Correa', '1999-09-28', TRUE),
(6580584, 'Rocío', 'Mirta', 'Castillo', NULL, '2003-05-25', TRUE),
(2643488, 'Iván', NULL, 'Martínez', 'Silla', '1967-02-18', TRUE),
(2672780, 'Agustín', 'Guillermo', 'De Luque', 'Torvalds', '1987-06-24', TRUE),
(7972333, 'Tobías', 'Valentín', 'González', 'Sativa', '1969-06-29', TRUE),
(3764567, 'Franco', 'Benjamín', 'Bonaventura', 'Gómez', '1974-02-16', TRUE),
(2222057, 'Josefina', NULL, 'Kirchner', 'Camión', '1965-01-15', TRUE),
(5229762, 'Federico', 'Javier', 'Saldaño', NULL, '2001-06-01', TRUE),
(5501172, 'Leonardo', 'Bruno', 'Ramírez', 'Pérez', '1938-10-23', TRUE),
(5158314, 'Luz', NULL, 'López', 'Castillo', '1991-06-30', TRUE),
(6054465, 'Selena', NULL, 'De la Pradera Cálida', 'Gómez', '1935-03-04', TRUE),
(6289770, 'Fátima', 'Julieta', 'Acevedo', 'Martínez', '2021-05-07', TRUE),
(6243300, 'Silvana', 'Bianca', 'Sánchez', NULL, '2016-12-18', TRUE),
(5793077, 'Beatriz', 'Teresa', 'Ramírez', NULL, '1963-01-30', TRUE),
(7725206, 'Ernesto', NULL, 'Ramírez', NULL, '1934-03-05', TRUE),
(6040957, 'Beatriz', NULL, 'Pomar', 'Pomar', '1926-04-25', TRUE),
(1267898, 'Valentino', 'Carlos', 'Correa', 'Torres', '1946-08-09', TRUE),
(5261758, 'Mónica', 'Aurelia', 'Pomar', 'Mesa', '1935-07-28', TRUE),
